"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"313","PMT4","YJR143C",2999,"7 10 12 14",0.00279871951159697,11.783,-0.939,8000,"Protein O-mannosyltransferase; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; appears to form homodimers in vivo and does not complex with other Pmt proteins; target for new antifungals"
"314","THO1","YER063W",1105,"12 14",0.00287907371652768,15.603,-0.163,NA,"Conserved nuclear RNA-binding protein; specifically binds to transcribed chromatin in a THO- and RNA-dependent manner, genetically interacts with shuttling hnRNP NAB2; overproduction suppresses transcriptional defect caused by hpr1 mutation"
"3053","PPM2","YOL141W",1413,"4 5 7 10 12 14",0.00288224507582472,10.211,0.948,NA,"AdoMet-dependent tRNA methyltransferase; also involved in methoxycarbonylation; required for the synthesis of wybutosine (yW), a modified guanosine found at the 3'-position adjacent to the anticodon of phe-tRNA; similarity to Ppm1p"
"315","TPS3","YMR261C",875,"10 12 14",0.00293690785096497,14.884,-0.266,1780,"Regulatory subunit of trehalose-6-phosphate synthase/phosphatase; involved in synthesis of storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; TPS3 has a paralog, TSL1, that arose from the whole genome duplication"
"316","UBP16","YPL072W",1,"3 4 5 7 10 12 14",0.00315870828340843,10.287,-1.38,NA,"Deubiquitinating enzyme anchored to the outer mitochondrial membrane; probably not important for general mitochondrial functioning, but may perform a more specialized function at mitochondria"
"317","PRX1","YBL064C",2228,"7 10 12 14",0.00320054103692175,12.179,-0.875,11700,"Mitochondrial peroxiredoxin with thioredoxin peroxidase activity; has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated; protein abundance increases in response to DNA replication stress"
"3054","MLS1","YNL117W",1110,"4 5 7 10 12 14",0.00320816497896469,14.079,0.392,7550,"Malate synthase, enzyme of the glyoxylate cycle; involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth on oleic acid, otherwise cytosolic; can accept butyryl-CoA as acyl-CoA donor in addition to traditional substrate acetyl-CoA"
"318","CAP2","YIL034C",2256,"3 4 5 7 12",0.00321119458258695,15.012,-0.258,NA,"Beta subunit of the capping protein heterodimer (Cap1p and Cap2p); capping protein (CP) binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches; protein increases in abundance and relocalizes from bud neck to plasma membrane upon DNA replication stress"
"319","HOR7","YMR251W-A",437,"7 10 12 14",0.00321619043587578,11.844,-0.926,NA,"Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor; HOR7 has a paralog, DDR2, that arose from the whole genome duplication"
"320","UTP10","YJL109C",509,"4 5 7 10 12 14",0.00321658543170311,12.128,-0.834,3750,"Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA; mutant has increased aneuploidy tolerance"
"321","NRG2","YBR066C",2104,"3 5 7",0.00325361784118072,10.931,-1.225,279,"Transcriptional repressor; mediates glucose repression and negatively regulates filamentous growth; activated in stochastic pulses of nuclear localization in response to low glucose"
"3055","ICL1","YER065C",1751,"4 5 7 10 12 14",0.00331259289328888,13.327,0.619,16500,"Isocitrate lyase; catalyzes the formation of succinate and glyoxylate from isocitrate, a key reaction of the glyoxylate cycle; expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose"
"322","RPL40A","YIL148W",2308,"7 10 12 14",0.00332393379582994,9.9,-0.992,1680,"Ubiquitin-ribosomal 60S subunit protein L40A fusion protein; cleaved to yield ubiquitin and ribosomal protein L40A; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40, no bacterial homolog; RPL40A has a paralog, RPL40B, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"
"323","EMP65","YER140W",2321,"5 7 10 14",0.00335040562618695,12.063,-0.795,NA,"Integral membrane protein of the ER; forms an ER-membrane associated protein complex with Slp1p; identified along with SLP1 in a screen for mutants defective in the unfolded protein response (UPR); proposed to function in the folding of integral membrane proteins; interacts genetically with MPS3; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"3056","DNF3","YMR162C",65,"5 7 12",0.00336504488867937,11.205,1.038,7720,"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"
"324","DFG5","YMR238W",611,"3 4 5 7 10 14",0.00338447045605875,11.668,-1.027,NA,"Putative mannosidase; essential glycosylphosphatidylinositol (GPI)-anchored membrane protein required for cell wall biogenesis in bud formation, involved in filamentous growth, homologous to Dcw1p"
"3057","SRP72","YPL210C",1116,"3 4 5 7 10 12 14",0.00338447045605875,9.72,0.953,NA,"Core component of the signal recognition particle (SRP); the SRP is a ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane"
"325","PUF3","YLL013C",2603,"7 10 12",0.00342600766375964,12.21,-1.175,NA,"Protein of the mitochondrial outer surface; links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins"
"3058","SWI4","YER111C",483,"3 4 5 7 10 12 14",0.00342858878920955,9.791,0.917,NA,"DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; Slt2p-independent regulator of cold growth; acetylation at two sites, K1016 and K1066, regulates interaction with Swi6p"
"3059","ERG3","YLR056W",2911,"5 7 12 14",0.00344912221275233,14.701,0.174,2270,"C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase"
"3060",NA,"YHR177W",1646,"5 10 12 14",0.00347469305134361,11.812,1.106,3490,"Putative transcription factor containing a WOPR domain; binds DNA in vitro; similar to C. albicans Wor1p transcription factor that regulates white-opaque switching; overexpression causes a cell cycle delay or arrest"
"3061","RVS167","YDR388W",256,"12 14",0.00353699289480543,15.406,0.191,NA,"Actin-associated protein with roles in endocytosis and exocytosis; N-BAR domain protein that interacts with Rvs161p to regulate actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin"
"326","MEP3","YPR138C",1557,"10 12 14",0.00360792494901197,15.337,-0.188,2070,"Ammonium permease of high capacity and low affinity; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation ammonia permease; MEP3 has a paralog, MEP1, that arose from the whole genome duplication"
"327","DNM1","YLL001W",2723,"3 4 5 7",0.00365326404325098,14.752,-0.203,NA,"Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and morphology; assembles on the cytoplasmic face of mitochondrial tubules at sites at which division will occur; also participates in endocytosis and regulating peroxisome abundance; human homolog Drp1 plays an important role in mediating maintenance of mitochondrial function, autophagy, and mitochondrial autophagy in the heart and cardiomyocytes"
"328",NA,"YML007C-A",2826,"7 10 12 14",0.00370991937190572,11.767,-1.003,NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria"
"3062","SYT1","YPR095C",1365,"4 5 7 10",0.00372354239276034,10.209,0.935,NA,"Guanine nucleotide exchange factor (GEF) for Arf proteins; promotes activation of Arl1p, which recruits Imh1p to the Golgi; involved in vesicular transport; member of the Sec7-domain family; contains a PH domain"
"329","TDA4","YJR116W",3071,"4 5 10 12",0.00377466454956069,11.959,-0.836,26000,"Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele"
"330",NA,"YDR089W",3043,"4 5 12 14",0.00377978319132678,11.156,-1.02,6160,"Protein of unknown function; deletion confers resistance to nickel; contains an SPX domain, which is found in proteins involved in phosphate homeostasis; relocalizes from vacuole to cytoplasm upon DNA replication stress"
"331","PUS1","YPL212C",2627,"5 7 10 12",0.00379120748220284,11.122,-1.305,1550,"tRNA:pseudouridine synthase; introduces pseudouridines at positions 26-28, 34-36, 65, and 67 of tRNA; also acts on U2 snRNA; also pseudouridylates some mRNAs, and pseudouridylation level varies with growth phase; nuclear protein that appears to be involved in tRNA export; PUS1 has a paralog, PUS2, that arose from the whole genome duplication"
"332","TIF5","YPR041W",1448,"4 5 10 14",0.0038079883580436,15.1,-0.207,1600,"Translation initiation factor eIF5; functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibitor to prevent recycling of eIF2"
"3063","ROD1","YOR018W",55,"7 10 12 14",0.00380832151348346,12.759,0.847,NA,"Alpha-arrestin involved in ubiquitin-dependent endocytosis; activating dephosphorylation relays glucose signaling to transporter endocytosis; calcineurin dephosphorylation is required for Rsp5p-dependent internalization of agonist-occupied Ste2p, as part of signal desensitization; recruits Rsp5p to Ste2p via its 2 PPXY motifs; protein abundance increases in response to DNA replication stress; ROD1 has a paralog, ROG3, that arose from the whole genome duplication"
"3064","IDI1","YPL117C",2822,"12 14",0.00381897277102521,12.963,0.734,2680,"Isopentenyl diphosphate:dimethylallyl diphosphate isomerase; catalyzes an essential activation step in the isoprenoid biosynthetic pathway; required for viability; isopentenyl diphosphate:dimethylallyl diphosphate isomerase is also known as IPP isomerase"
"333","SED4","YCR067C",39,"5 10 12 14",0.00382836048335498,11.175,-1.019,19300,"Integral ER membrane protein that stimulates Sar1p GTPase activity; involved in COPII vesicle budding through disassociation of coat proteins from membranes onto liposomes; binds Sec16p; SED4 has a paralog, SEC12, that arose from the whole genome duplication"
"3065","PUF6","YDR496C",1599,"10 12 14",0.00386447502250382,11.741,1.095,78700,"Pumilio-homology domain protein; binds the 3' UTR of ASH1 mRNA and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; co-sediments with the 60S ribosomal subunit and is required for its biogenesis"
"3066","JSN1","YJR091C",1639,"12 14",0.00386447502250382,14.916,0.245,NA,"Member of the Puf family of RNA-binding proteins; interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl; JSN1 has a paralog, PUF2, that arose from the whole genome duplication"
"334",NA,"YCL001W-B",2080,"3 7 10 12 14",0.00393250437701336,10.392,-1.258,1900,"Putative protein of unknown function; present in a region duplicated between chromosomes XIV and III; YCL001W-B has a paralog, DOM34, that arose from the whole genome duplication"
"335",NA,"YDR034W-B",2723,"7 10 12 14",0.00404200564389889,13.329,-0.899,NA,"Predicted tail-anchored plasma membrane protein; contains conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; YDR034W-B has a paralog, YBR056W-A, that arose from the whole genome duplication"
"336","PEX34","YCL056C",2215,"7 10 12 14",0.00405907960651735,11.141,-1.13,NA,"Protein that regulates peroxisome populations; peroxisomal integral membrane protein; interacts with Pex11p, Pex25p, and Pex27p to control both constitutive peroxisome division and peroxisome morphology and abundance during peroxisome proliferation"
